case_,date_of_occurrence,block,_primary_decsription,fbi_cd,_secondary_description,ward,_location_description,domestic,beat,_iucr,arrest,:@computed_region_43wa_7qmu,location,y_coordinate,latitude,:@computed_region_awaf_s7ux,x_coordinate,longitude,:@computed_region_bdys_3d7i,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k
JG126343,2022-12-17T01:30:00.000,085XX S COTTAGE GROVE AVE,THEFT,06,$500 AND UNDER,6,RESTAURANT,N,632,0820,N,,,,,,,,,,
JG178054,2023-03-08T08:15:00.000,045XX N HAMLIN AVE,ASSAULT,08A,SIMPLE,35,SCHOOL - PUBLIC GROUNDS,Y,1723,0560,N,12.0,"{'latitude': '41.964023009', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.723018865'}",1930071.0,41.964023009,28.0,1150235.0,-87.723018865,119.0,21849.0,14.0
JG118315,2023-01-16T13:45:00.000,062XX S KEDZIE AVE,BATTERY,08B,SIMPLE,16,SMALL RETAIL STORE,N,823,0460,N,6.0,"{'latitude': '41.78018541', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.703170178'}",1863120.0,41.78018541,44.0,1156125.0,-87.703170178,182.0,21867.0,64.0
JG118988,2023-01-16T21:00:00.000,027XX N SPAULDING AVE,MOTOR VEHICLE THEFT,07,AUTOMOBILE,35,STREET,N,1412,0910,N,12.0,"{'latitude': '41.931284359', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.710218553'}",1918166.0,41.931284359,15.0,1153803.0,-87.710218553,72.0,22535.0,23.0
JG178261,2023-03-08T11:00:00.000,080XX S RICHMOND ST,BATTERY,08B,DOMESTIC BATTERY SIMPLE,18,RESIDENCE,Y,835,0486,Y,30.0,"{'latitude': '41.747377369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.696220714'}",1851179.0,41.747377369,6.0,1158109.0,-87.696220714,243.0,4300.0,69.0
JG118587,2023-01-16T16:50:00.000,054XX S MICHIGAN AVE,MOTOR VEHICLE THEFT,07,AUTOMOBILE,3,CTA PARKING LOT / GARAGE / OTHER PROPERTY,N,231,0910,N,9.0,"{'latitude': '41.79558748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.622489932'}",1868904.0,41.79558748,12.0,1178084.0,-87.622489932,401.0,21192.0,7.0
JG118129,2023-01-16T11:20:00.000,048XX W IOWA ST,NARCOTICS,18,MANUFACTURE / DELIVER -  HEROIN (WHITE),37,SIDEWALK,N,1531,2014,Y,45.0,"{'latitude': '41.896819349', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.747185057'}",1905536.0,41.896819349,4.0,1143830.0,-87.747185057,578.0,4299.0,26.0
JG118674,2023-01-16T18:00:00.000,040XX W NORTH AVE,DECEPTIVE PRACTICE,11,CREDIT CARD FRAUD,26,STREET,N,2534,1150,N,49.0,"{'latitude': '41.909876642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.727138915'}",1910332.0,41.909876642,27.0,1149254.0,-87.727138915,286.0,22615.0,24.0
JG125467,2022-12-15T00:00:00.000,020XX W FOSTER AVE,MOTOR VEHICLE THEFT,07,"CYCLE, SCOOTER, BIKE WITH VIN",40,STREET,N,2032,0917,N,,,,,,,,,,
JG118233,2023-01-16T12:29:00.000,046XX W ARMITAGE AVE,OTHER OFFENSE,26,VIOLATE ORDER OF PROTECTION,36,RESIDENCE,Y,2533,4387,N,44.0,"{'latitude': '41.916975644', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.742341751'}",1912890.0,41.916975644,7.0,1145098.0,-87.742341751,289.0,22615.0,19.0
JG126146,2022-12-11T19:00:00.000,012XX N WELLS ST,CRIMINAL DAMAGE,14,TO PROPERTY,2,SMALL RETAIL STORE,N,1821,1310,N,,,,,,,,,,
JG117745,2023-01-16T02:42:00.000,030XX S KEDZIE AVE,CRIMINAL DAMAGE,14,TO VEHICLE,12,STREET,N,1033,1320,N,1.0,"{'latitude': '41.837991894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.704845564'}",1884181.0,41.837991894,29.0,1155514.0,-87.704845564,146.0,21569.0,32.0
JG118464,2023-01-16T14:45:00.000,0000X W TERMINAL ST,THEFT,06,$500 AND UNDER,41,CTA PARKING LOT / GARAGE / OTHER PROPERTY,N,1652,0820,N,29.0,"{'latitude': '41.9764212', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.904976266'}",1934289.0,41.9764212,34.0,1100726.0,-87.904976266,668.0,16197.0,75.0
JG118799,2023-01-16T21:00:00.000,100XX S LAFAYETTE AVE,OTHER OFFENSE,26,HARASSMENT BY ELECTRONIC MEANS,9,RESIDENCE,N,511,2826,N,43.0,"{'latitude': '41.711653724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.624829161'}",1838314.0,41.711653724,30.0,1177698.0,-87.624829161,569.0,21861.0,45.0
JG119041,2023-01-16T18:45:00.000,006XX S LA SALLE ST,THEFT,06,$500 AND UNDER,4,PARKING LOT / GARAGE (NON RESIDENTIAL),N,123,0820,N,10.0,"{'latitude': '41.874215036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.631683611'}",1897535.0,41.874215036,48.0,1175343.0,-87.631683611,12.0,14913.0,38.0
JG119359,2023-01-16T18:05:00.000,012XX W MONROE ST,THEFT,06,OVER $500,25,RESIDENCE - YARD (FRONT / BACK),N,1224,0810,N,46.0,"{'latitude': '41.880310105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.658254354'}",1899698.0,41.880310105,41.0,1168089.0,-87.658254354,91.0,14917.0,29.0
JG118052,2023-01-16T01:00:00.000,026XX W 22ND PL,CRIMINAL DAMAGE,14,TO PROPERTY,24,APARTMENT,N,1034,1310,N,14.0,"{'latitude': '41.851044582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.691129874'}",1888965.0,41.851044582,11.0,1159216.0,-87.691129874,263.0,14920.0,32.0
